vtk_name,path_type,specimen,family,genus,species,vertebra_type,vertebra_num,n_cervical,n_thoracic,n_lumbar,Total Vert,normalized_position,status
agamidae_draco_blanfordi_uf61535_01-c3.vtk,list_mesh_paths,agamidae_draco_blanfordi_uf61535,agamidae,draco,blanfordi,C,3,4,10,8,22,0.045455,OK
agamidae_draco_blanfordi_uf61535_04-c6.vtk,list_mesh_paths,agamidae_draco_blanfordi_uf61535,agamidae,draco,blanfordi,C,6,4,10,8,22,0.181818,OK
agamidae_draco_blanfordi_uf61535_07-t3.vtk,list_mesh_paths,agamidae_draco_blanfordi_uf61535,agamidae,draco,blanfordi,T,3,4,10,8,22,0.318182,OK
agamidae_draco_blanfordi_uf61535_08-t4.vtk,list_mesh_paths,agamidae_draco_blanfordi_uf61535,agamidae,draco,blanfordi,T,4,4,10,8,22,0.363636,OK
agamidae_draco_blanfordi_uf61535_09-t5.vtk,list_mesh_paths,agamidae_draco_blanfordi_uf61535,agamidae,draco,blanfordi,T,5,4,10,8,22,0.409091,OK
agamidae_draco_blanfordi_uf61535_11-t7.vtk,list_mesh_paths,agamidae_draco_blanfordi_uf61535,agamidae,draco,blanfordi,T,7,4,10,8,22,0.5,OK
agamidae_draco_blanfordi_uf61535_12-t8.vtk,list_mesh_paths,agamidae_draco_blanfordi_uf61535,agamidae,draco,blanfordi,T,8,4,10,8,22,0.545455,OK
agamidae_draco_blanfordi_uf61535_14-t10.vtk,list_mesh_paths,agamidae_draco_blanfordi_uf61535,agamidae,draco,blanfordi,T,10,4,10,8,22,0.636364,OK
agamidae_draco_blanfordi_uf61535_15-l1.vtk,list_mesh_paths,agamidae_draco_blanfordi_uf61535,agamidae,draco,blanfordi,L,1,4,10,8,22,0.681818,OK
agamidae_draco_blanfordi_uf61535_16-l2.vtk,list_mesh_paths,agamidae_draco_blanfordi_uf61535,agamidae,draco,blanfordi,L,2,4,10,8,22,0.727273,OK
agamidae_draco_blanfordi_uf61535_19-l5.vtk,list_mesh_paths,agamidae_draco_blanfordi_uf61535,agamidae,draco,blanfordi,L,5,4,10,8,22,0.863636,OK
agamidae_draco_blanfordi_uf61535_21-l7.vtk,list_mesh_paths,agamidae_draco_blanfordi_uf61535,agamidae,draco,blanfordi,L,7,4,10,8,22,0.954545,OK
agamidae_draco_blanfordi_uf61535_22-l8.vtk,list_mesh_paths,agamidae_draco_blanfordi_uf61535,agamidae,draco,blanfordi,L,8,4,10,8,22,1.0,OK
agamidae_leiolepis_belliana_ncsm79583_03-c5.vtk,list_mesh_paths,agamidae_leiolepis_belliana_ncsm79583,agamidae,leiolepis,belliana,C,5,5,5,12,22,0.136364,OK
agamidae_leiolepis_belliana_ncsm79583_06-t1.vtk,list_mesh_paths,agamidae_leiolepis_belliana_ncsm79583,agamidae,leiolepis,belliana,T,1,5,5,12,22,0.272727,OK
agamidae_leiolepis_belliana_ncsm79583_07-t2.vtk,list_mesh_paths,agamidae_leiolepis_belliana_ncsm79583,agamidae,leiolepis,belliana,T,2,5,5,12,22,0.318182,OK
agamidae_leiolepis_belliana_ncsm79583_08-t3.vtk,list_mesh_paths,agamidae_leiolepis_belliana_ncsm79583,agamidae,leiolepis,belliana,T,3,5,5,12,22,0.363636,OK
agamidae_leiolepis_belliana_ncsm79583_09-t4.vtk,list_mesh_paths,agamidae_leiolepis_belliana_ncsm79583,agamidae,leiolepis,belliana,T,4,5,5,12,22,0.409091,OK
agamidae_leiolepis_belliana_ncsm79583_10-t5.vtk,list_mesh_paths,agamidae_leiolepis_belliana_ncsm79583,agamidae,leiolepis,belliana,T,5,5,5,12,22,0.454545,OK
agamidae_leiolepis_belliana_ncsm79583_11-l1.vtk,list_mesh_paths,agamidae_leiolepis_belliana_ncsm79583,agamidae,leiolepis,belliana,L,1,5,5,12,22,0.5,OK
agamidae_leiolepis_belliana_ncsm79583_13-l3.vtk,list_mesh_paths,agamidae_leiolepis_belliana_ncsm79583,agamidae,leiolepis,belliana,L,3,5,5,12,22,0.590909,OK
agamidae_leiolepis_belliana_ncsm79583_14-l4.vtk,list_mesh_paths,agamidae_leiolepis_belliana_ncsm79583,agamidae,leiolepis,belliana,L,4,5,5,12,22,0.636364,OK
agamidae_leiolepis_belliana_ncsm79583_15-l5.vtk,list_mesh_paths,agamidae_leiolepis_belliana_ncsm79583,agamidae,leiolepis,belliana,L,5,5,5,12,22,0.681818,OK
agamidae_leiolepis_belliana_ncsm79583_16-l6.vtk,list_mesh_paths,agamidae_leiolepis_belliana_ncsm79583,agamidae,leiolepis,belliana,L,6,5,5,12,22,0.727273,OK
agamidae_leiolepis_belliana_ncsm79583_17-l7.vtk,list_mesh_paths,agamidae_leiolepis_belliana_ncsm79583,agamidae,leiolepis,belliana,L,7,5,5,12,22,0.772727,OK
agamidae_leiolepis_belliana_ncsm79583_18-l8.vtk,list_mesh_paths,agamidae_leiolepis_belliana_ncsm79583,agamidae,leiolepis,belliana,L,8,5,5,12,22,0.818182,OK
agamidae_leiolepis_belliana_ncsm79583_19-l9.vtk,list_mesh_paths,agamidae_leiolepis_belliana_ncsm79583,agamidae,leiolepis,belliana,L,9,5,5,12,22,0.863636,OK
agamidae_leiolepis_belliana_ncsm79583_20-l10.vtk,list_mesh_paths,agamidae_leiolepis_belliana_ncsm79583,agamidae,leiolepis,belliana,L,10,5,5,12,22,0.909091,OK
agamidae_leiolepis_belliana_ncsm79583_21-l11.vtk,list_mesh_paths,agamidae_leiolepis_belliana_ncsm79583,agamidae,leiolepis,belliana,L,11,5,5,12,22,0.954545,OK
agamidae_leiolepis_belliana_ncsm79583_22-l12.vtk,list_mesh_paths,agamidae_leiolepis_belliana_ncsm79583,agamidae,leiolepis,belliana,L,12,5,5,12,22,1.0,OK
agamidae_uromastyx_acanthinurus_uf84845_01-c3.vtk,list_mesh_paths,agamidae_uromastyx_acanthinurus_uf84845,agamidae,uromastyx,acanthinurus,C,3,5,5,12,22,0.045455,OK
agamidae_uromastyx_acanthinurus_uf84845_02-c4.vtk,list_mesh_paths,agamidae_uromastyx_acanthinurus_uf84845,agamidae,uromastyx,acanthinurus,C,4,5,5,12,22,0.090909,OK
agamidae_uromastyx_acanthinurus_uf84845_03-c5.vtk,list_mesh_paths,agamidae_uromastyx_acanthinurus_uf84845,agamidae,uromastyx,acanthinurus,C,5,5,5,12,22,0.136364,OK
agamidae_uromastyx_acanthinurus_uf84845_04-c6.vtk,list_mesh_paths,agamidae_uromastyx_acanthinurus_uf84845,agamidae,uromastyx,acanthinurus,C,6,5,5,12,22,0.181818,OK
agamidae_uromastyx_acanthinurus_uf84845_05-c7.vtk,list_mesh_paths,agamidae_uromastyx_acanthinurus_uf84845,agamidae,uromastyx,acanthinurus,C,7,5,5,12,22,0.227273,OK
agamidae_uromastyx_acanthinurus_uf84845_06-t1.vtk,list_mesh_paths,agamidae_uromastyx_acanthinurus_uf84845,agamidae,uromastyx,acanthinurus,T,1,5,5,12,22,0.272727,OK
agamidae_uromastyx_acanthinurus_uf84845_07-t2.vtk,list_mesh_paths,agamidae_uromastyx_acanthinurus_uf84845,agamidae,uromastyx,acanthinurus,T,2,5,5,12,22,0.318182,OK
agamidae_uromastyx_acanthinurus_uf84845_08-t3.vtk,list_mesh_paths,agamidae_uromastyx_acanthinurus_uf84845,agamidae,uromastyx,acanthinurus,T,3,5,5,12,22,0.363636,OK
agamidae_uromastyx_acanthinurus_uf84845_09-t4.vtk,list_mesh_paths,agamidae_uromastyx_acanthinurus_uf84845,agamidae,uromastyx,acanthinurus,T,4,5,5,12,22,0.409091,OK
agamidae_uromastyx_acanthinurus_uf84845_11-l1.vtk,list_mesh_paths,agamidae_uromastyx_acanthinurus_uf84845,agamidae,uromastyx,acanthinurus,L,1,5,5,12,22,0.5,OK
agamidae_uromastyx_acanthinurus_uf84845_12-l2.vtk,list_mesh_paths,agamidae_uromastyx_acanthinurus_uf84845,agamidae,uromastyx,acanthinurus,L,2,5,5,12,22,0.545455,OK
agamidae_uromastyx_acanthinurus_uf84845_13-l3.vtk,list_mesh_paths,agamidae_uromastyx_acanthinurus_uf84845,agamidae,uromastyx,acanthinurus,L,3,5,5,12,22,0.590909,OK
agamidae_uromastyx_acanthinurus_uf84845_15-l5.vtk,list_mesh_paths,agamidae_uromastyx_acanthinurus_uf84845,agamidae,uromastyx,acanthinurus,L,5,5,5,12,22,0.681818,OK
agamidae_uromastyx_acanthinurus_uf84845_16-l6.vtk,list_mesh_paths,agamidae_uromastyx_acanthinurus_uf84845,agamidae,uromastyx,acanthinurus,L,6,5,5,12,22,0.727273,OK
agamidae_uromastyx_acanthinurus_uf84845_17-l7.vtk,list_mesh_paths,agamidae_uromastyx_acanthinurus_uf84845,agamidae,uromastyx,acanthinurus,L,7,5,5,12,22,0.772727,OK
agamidae_uromastyx_acanthinurus_uf84845_18-l8.vtk,list_mesh_paths,agamidae_uromastyx_acanthinurus_uf84845,agamidae,uromastyx,acanthinurus,L,8,5,5,12,22,0.818182,OK
agamidae_uromastyx_acanthinurus_uf84845_19-l9.vtk,list_mesh_paths,agamidae_uromastyx_acanthinurus_uf84845,agamidae,uromastyx,acanthinurus,L,9,5,5,12,22,0.863636,OK
agamidae_uromastyx_acanthinurus_uf84845_20-l10.vtk,list_mesh_paths,agamidae_uromastyx_acanthinurus_uf84845,agamidae,uromastyx,acanthinurus,L,10,5,5,12,22,0.909091,OK
agamidae_uromastyx_acanthinurus_uf84845_21-l11.vtk,list_mesh_paths,agamidae_uromastyx_acanthinurus_uf84845,agamidae,uromastyx,acanthinurus,L,11,5,5,12,22,0.954545,OK
agamidae_uromastyx_acanthinurus_uf84845_22-l12.vtk,list_mesh_paths,agamidae_uromastyx_acanthinurus_uf84845,agamidae,uromastyx,acanthinurus,L,12,5,5,12,22,1.0,OK
amphisbaenidae_bipes_biporus_uf42060_001-c3.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,C,3,3,6,116,125,0.008,OK
amphisbaenidae_bipes_biporus_uf42060_005-t2.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,T,2,3,6,116,125,0.04,OK
amphisbaenidae_bipes_biporus_uf42060_006-t3.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,T,3,3,6,116,125,0.048,OK
amphisbaenidae_bipes_biporus_uf42060_007-t4.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,T,4,3,6,116,125,0.056,OK
amphisbaenidae_bipes_biporus_uf42060_009-t6.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,T,6,3,6,116,125,0.072,OK
amphisbaenidae_bipes_biporus_uf42060_010-l1.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,1,3,6,116,125,0.08,OK
amphisbaenidae_bipes_biporus_uf42060_011-l2.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,2,3,6,116,125,0.088,OK
amphisbaenidae_bipes_biporus_uf42060_012-l3.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,3,3,6,116,125,0.096,OK
amphisbaenidae_bipes_biporus_uf42060_013-l4.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,4,3,6,116,125,0.104,OK
amphisbaenidae_bipes_biporus_uf42060_015-l6.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,6,3,6,116,125,0.12,OK
amphisbaenidae_bipes_biporus_uf42060_016-l7.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,7,3,6,116,125,0.128,OK
amphisbaenidae_bipes_biporus_uf42060_017-l8.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,8,3,6,116,125,0.136,OK
amphisbaenidae_bipes_biporus_uf42060_018-l9.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,9,3,6,116,125,0.144,OK
amphisbaenidae_bipes_biporus_uf42060_019-l10.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,10,3,6,116,125,0.152,OK
amphisbaenidae_bipes_biporus_uf42060_022-l13.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,13,3,6,116,125,0.176,OK
amphisbaenidae_bipes_biporus_uf42060_024-l15.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,15,3,6,116,125,0.192,OK
amphisbaenidae_bipes_biporus_uf42060_027-l18.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,18,3,6,116,125,0.216,OK
amphisbaenidae_bipes_biporus_uf42060_028-l19.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,19,3,6,116,125,0.224,OK
amphisbaenidae_bipes_biporus_uf42060_029-l20.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,20,3,6,116,125,0.232,OK
amphisbaenidae_bipes_biporus_uf42060_031-l22.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,22,3,6,116,125,0.248,OK
amphisbaenidae_bipes_biporus_uf42060_032-l23.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,23,3,6,116,125,0.256,OK
amphisbaenidae_bipes_biporus_uf42060_034-l25.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,25,3,6,116,125,0.272,OK
amphisbaenidae_bipes_biporus_uf42060_035-l26.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,26,3,6,116,125,0.28,OK
amphisbaenidae_bipes_biporus_uf42060_036-l27.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,27,3,6,116,125,0.288,OK
amphisbaenidae_bipes_biporus_uf42060_038-l29.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,29,3,6,116,125,0.304,OK
amphisbaenidae_bipes_biporus_uf42060_039-l30.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,30,3,6,116,125,0.312,OK
amphisbaenidae_bipes_biporus_uf42060_040-l31.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,31,3,6,116,125,0.32,OK
amphisbaenidae_bipes_biporus_uf42060_041-l32.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,32,3,6,116,125,0.328,OK
amphisbaenidae_bipes_biporus_uf42060_043-l34.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,34,3,6,116,125,0.344,OK
amphisbaenidae_bipes_biporus_uf42060_044-l35.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,35,3,6,116,125,0.352,OK
amphisbaenidae_bipes_biporus_uf42060_045-l36.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,36,3,6,116,125,0.36,OK
amphisbaenidae_bipes_biporus_uf42060_046-l37.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,37,3,6,116,125,0.368,OK
amphisbaenidae_bipes_biporus_uf42060_047-l38.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,38,3,6,116,125,0.376,OK
amphisbaenidae_bipes_biporus_uf42060_049-l40.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,40,3,6,116,125,0.392,OK
amphisbaenidae_bipes_biporus_uf42060_050-l41.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,41,3,6,116,125,0.4,OK
amphisbaenidae_bipes_biporus_uf42060_052-l43.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,43,3,6,116,125,0.416,OK
amphisbaenidae_bipes_biporus_uf42060_053-l44.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,44,3,6,116,125,0.424,OK
amphisbaenidae_bipes_biporus_uf42060_054-l45.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,45,3,6,116,125,0.432,OK
amphisbaenidae_bipes_biporus_uf42060_055-l46.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,46,3,6,116,125,0.44,OK
amphisbaenidae_bipes_biporus_uf42060_057-l48.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,48,3,6,116,125,0.456,OK
amphisbaenidae_bipes_biporus_uf42060_058-l49.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,49,3,6,116,125,0.464,OK
amphisbaenidae_bipes_biporus_uf42060_060-l51.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,51,3,6,116,125,0.48,OK
amphisbaenidae_bipes_biporus_uf42060_061-l52.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,52,3,6,116,125,0.488,OK
amphisbaenidae_bipes_biporus_uf42060_062-l53.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,53,3,6,116,125,0.496,OK
amphisbaenidae_bipes_biporus_uf42060_064-l55.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,55,3,6,116,125,0.512,OK
amphisbaenidae_bipes_biporus_uf42060_068-l59.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,59,3,6,116,125,0.544,OK
amphisbaenidae_bipes_biporus_uf42060_069-l60.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,60,3,6,116,125,0.552,OK
amphisbaenidae_bipes_biporus_uf42060_070-l61.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,61,3,6,116,125,0.56,OK
amphisbaenidae_bipes_biporus_uf42060_071-l62.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,62,3,6,116,125,0.568,OK
amphisbaenidae_bipes_biporus_uf42060_072-l63.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,63,3,6,116,125,0.576,OK
amphisbaenidae_bipes_biporus_uf42060_077-l68.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,68,3,6,116,125,0.616,OK
amphisbaenidae_bipes_biporus_uf42060_078-l69.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,69,3,6,116,125,0.624,OK
amphisbaenidae_bipes_biporus_uf42060_079-l70.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,70,3,6,116,125,0.632,OK
amphisbaenidae_bipes_biporus_uf42060_080-l71.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,71,3,6,116,125,0.64,OK
amphisbaenidae_bipes_biporus_uf42060_081-l72.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,72,3,6,116,125,0.648,OK
amphisbaenidae_bipes_biporus_uf42060_082-l73.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,73,3,6,116,125,0.656,OK
amphisbaenidae_bipes_biporus_uf42060_083-l74.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,74,3,6,116,125,0.664,OK
amphisbaenidae_bipes_biporus_uf42060_084-l75.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,75,3,6,116,125,0.672,OK
amphisbaenidae_bipes_biporus_uf42060_085-l76.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,76,3,6,116,125,0.68,OK
amphisbaenidae_bipes_biporus_uf42060_086-l77.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,77,3,6,116,125,0.688,OK
amphisbaenidae_bipes_biporus_uf42060_087-l78.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,78,3,6,116,125,0.696,OK
amphisbaenidae_bipes_biporus_uf42060_088-l79.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,79,3,6,116,125,0.704,OK
amphisbaenidae_bipes_biporus_uf42060_089-l80.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,80,3,6,116,125,0.712,OK
amphisbaenidae_bipes_biporus_uf42060_090-l81.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,81,3,6,116,125,0.72,OK
amphisbaenidae_bipes_biporus_uf42060_091-l82.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,82,3,6,116,125,0.728,OK
amphisbaenidae_bipes_biporus_uf42060_092-l83.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,83,3,6,116,125,0.736,OK
amphisbaenidae_bipes_biporus_uf42060_094-l85.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,85,3,6,116,125,0.752,OK
amphisbaenidae_bipes_biporus_uf42060_095-l86.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,86,3,6,116,125,0.76,OK
amphisbaenidae_bipes_biporus_uf42060_096-l87.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,87,3,6,116,125,0.768,OK
amphisbaenidae_bipes_biporus_uf42060_098-l89.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,89,3,6,116,125,0.784,OK
amphisbaenidae_bipes_biporus_uf42060_099-l90.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,90,3,6,116,125,0.792,OK
amphisbaenidae_bipes_biporus_uf42060_100-l91.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,91,3,6,116,125,0.8,OK
amphisbaenidae_bipes_biporus_uf42060_101-l92.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,92,3,6,116,125,0.808,OK
amphisbaenidae_bipes_biporus_uf42060_102-l93.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,93,3,6,116,125,0.816,OK
amphisbaenidae_bipes_biporus_uf42060_103-l94.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,94,3,6,116,125,0.824,OK
amphisbaenidae_bipes_biporus_uf42060_104-l95.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,95,3,6,116,125,0.832,OK
amphisbaenidae_bipes_biporus_uf42060_105-l96.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,96,3,6,116,125,0.84,OK
amphisbaenidae_bipes_biporus_uf42060_106-l97.vtk,list_mesh_paths,amphisbaenidae_bipes_biporus_uf42060,amphisbaenidae,bipes,biporus,L,97,3,6,116,125,0.848,OK
